Date Raw;Date Parsed;Breeding ETH;Breeding USD;Breeding AXS;Marketplace ETH;Marketplace USD
1621641600000;05/22/2021;280.258;903884.9889999998;141697;715.8145183086907;1656600.4953200002
1621728000000;05/23/2021;312.214;977824.8969999999;160437;733.1317950514023;1696540.567575
1621814400000;05/24/2021;342.934;1043052.0569999999;179605;750.5246151493103;1733414.0008625
1621900800000;05/25/2021;379.21200000000005;1138805.64;202621;769.5294903291156;1783589.91018
1621987200000;05/26/2021;413.21500000000003;1230436.41;224899;787.1412381360541;1831062.000735
1622073600000;05/27/2021;446.951;1327710.93;244905;805.5831967451066;1884380.6071475002
1622160000000;05/28/2021;479.058;1416107.861;263309;830.8879610464097;1953790.2256000005
1622246400000;05/29/2021;515.413;1504461.727;284367;866.6869289380213;2040786.013615002
1622332800000;05/30/2021;566.705;1622223.946;307267;904.7248675703098;2127938.5877
1622419200000;05/31/2021;622.5020000000001;1755824.606;336623;945.3160270487377;2225188.9531525
1622505600000;06/01/2021;682.325;1917861.4409999999;369337;991.1997194713177;2349360.9192525004
1622592000000;06/02/2021;736.676;2061039.849;399835;1038.1265979826396;2473237.4492800008
1622678400000;06/03/2021;790.6880000000001;2207583.6149999998;430915;1081.466807589019;2590692.2064000005
1622764800000;06/04/2021;844.2930000000001;2360821.622;462869;1135.2834237359211;2745180.4036125
1622851200000;06/05/2021;903.8870000000001;2521394.069;499711;1189.7472764895424;2891911.057635
1622937600000;06/06/2021;969.0050000000001;2691179.3400000003;540241;1241.408961366097;3027511.085714999
1623024000000;06/07/2021;1029.9830000000002;2856666.6450000005;578011;1291.9362515967953;3164790.089044999
1623110400000;06/08/2021;1095.1320000000003;3025603.6860000007;620245;1348.515394008761;3311505.434609999
1623196800000;06/09/2021;1160.7730000000004;3191561.431000001;663119;1402.7154194621203;3448095.0495625
1623283200000;06/10/2021;1231.4420000000005;3376437.8820000007;709193;1460.3811974292257;3599016.2697150004
1623369600000;06/11/2021;1302.7290000000005;3552796.670000001;753771;1518.5602077577666;3742989.6968825003
1623456000000;06/12/2021;1394.2780000000005;3768503.946000001;804529;1577.8514808233308;3882674.1087950007
1623542400000;06/13/2021;1467.5600000000004;3942949.026000001;850337;1634.1245579302367;4016565.5434175
1623628800000;06/14/2021;1547.5800000000004;4144366.895000001;900435;1687.0569183915954;4149950.1717874985
1623715200000;06/15/2021;1631.6820000000005;4362107.328000001;952337;1742.827332831127;4294386.394204998
1623801600000;06/16/2021;1724.2950000000005;4599422.421000001;1005515;1804.224075634764;4451204.434149999
1623888000000;06/17/2021;1808.0120000000006;4797604.253000001;1052831;1866.362146192921;4598272.015124998
1623974400000;06/18/2021;1909.0620000000006;5038181.744000002;1104967;1937.8923159513336;4768187.867462499
1624060800000;06/19/2021;2015.3920000000005;5275115.494000002;1159077;2014.218603587524;4938485.591394999
1624147200000;06/20/2021;2121.9090000000006;5506885.234000002;1214101;2094.104533987606;5112227.874665
1624233600000;06/21/2021;2230.4450000000006;5751211.121000002;1272131;2184.1186841418717;5315041.963462502
1624320000000;06/22/2021;2324.1530000000007;5929604.227000002;1327235;2277.5354957683467;5491202.275732502
1624406400000;06/23/2021;2418.7750000000005;6106758.718000002;1382271;2360.4400429317457;5646709.000447501
1624492800000;06/24/2021;2546.5020000000004;6358697.682000002;1450001;2461.448806331283;5845621.622140001
1624579200000;06/25/2021;2678.2400000000002;6620839.709000002;1518897;2567.9422538788117;6057551.691487498
1624665600000;06/26/2021;2823.2000000000003;6886572.964000002;1594997;2694.6748933694444;6289911.316737494
